,pM,pML_1,pML_2,pML_3,pML_4,pUL_1,pUL_2,pUL_3,pUL_4
45,0.9852764188909152,0.09441376029037755,0.08281388712297769,0.2057016886007159,0.1282203133095157,0.4580030028611328,0.03136206677231335,0.06536908600694513,0.3024289336362464
46,0.9752956909771466,0.08141012941791996,0.14407101046067786,0.22955605693206918,0.13650636781169617,0.47418197766740294,0.29495245220658284,0.920767187654006,0.18998791906890558
47,0.9987512011075393,0.1605589623305084,0.08128792205263605,0.1456311403110431,0.20990851240483102,0.43571786862801454,0.7399011010332363,0.7683424734200734,0.9582144161889642
48,0.9954568356697628,0.10402132186732678,0.09904336623150373,0.1868421992885455,0.09943303530583965,0.8833304469366375,0.06732810147246483,0.7500271272322054,0.908158363894388
49,0.9889392852189843,0.0926856464152782,0.09452700903462323,0.13258519401206093,0.19868351469678816,0.736014457568108,0.5714339683296091,0.8613355519554305,0.7997662154367419
50,0.9902441814365751,0.09871750562982645,0.04933894195541205,0.23506931205562545,0.14291975358222384,0.19910288372482787,0.3281911772668234,0.6734194951645899,0.5175723068900177
51,0.9805443514541352,0.053756002556090615,0.16718704174583932,0.22357025932113267,0.12049054244118843,0.45162194502932107,0.249825205844161,0.04447669746364122,0.7767950105279909
52,0.9881251011689708,0.09565859506260906,0.11162991937440299,0.117959450786942,0.14952714767974828,0.2550584875897697,0.852512238816992,0.21124961918940316,0.890409560700134
53,0.9922382545643521,0.0993212152891544,0.07608561627341136,0.15738728029447444,0.12868467934385872,0.06173708773688897,0.7705036260087555,0.3467603307343759,0.34065382465776883
54,0.9987145724077975,0.0882946686454734,0.06975073302156497,0.19653623733126535,0.1481671642031878,0.9500173861205398,0.10405442300040693,0.3516657825745093,0.4067641904395412
55,0.9861055009924283,0.08334114789166447,0.0822086565999961,0.12091239767512842,0.13921773041994354,0.9636724593671223,0.8340023669698541,0.08418899451285802,0.21944025943434756
56,0.9948720867725058,0.13513886322257024,0.08598071358964968,0.15119713374522403,0.15977812211530604,0.3721673617593692,0.39767165633932766,0.8410227584752612,0.3952946187697114
57,0.9979736555996798,0.13844951814467024,0.1270184835732582,0.2283168277001609,0.13475082302526198,0.6955003257681627,0.07514144491045642,0.09567084450008168,0.5288338925544613
58,0.9979633453206612,0.09904209705121159,0.08196266955499483,0.19451456042129792,0.1738894252281053,0.9770996145980207,0.9275022490302395,0.8654970091115324,0.37064245531578227
59,0.9924742925181139,0.11861339448457342,0.11663504569501999,0.10593902168030163,0.1880716962079552,0.2085200819961606,0.7353726288551687,0.12828205827010103,0.5215198293800858
60,0.9969423314627589,0.09195078844078099,0.10634053089025174,0.26039185757844757,0.15565502904808623,0.6764921905400737,0.24503991183168847,0.8855074154293425,0.16576807081185732
61,0.9973856631996892,0.05703664389503901,0.08740490285845184,0.17655785389803852,0.17133228183399837,0.8753002674890297,0.7443118043129066,0.23175778132227254,0.6003627219041388
62,0.9840786302535998,0.09706523850011795,0.10578818337475142,0.10982710087631627,0.16377305049905322,0.5772361222163245,0.24297732665083058,0.74846340228138,0.8185032065543648
63,0.9955330335363195,0.08527111964927128,0.16846037765274383,0.15532915460134938,0.11325948025043014,0.7101599131463657,0.28340887945827514,0.07776388593805536,0.3274463165474342
64,0.9915851076503374,0.11375940423070034,0.07129903515787982,0.23089680014644068,0.11844903114869697,0.2537635474611602,0.41127442082537885,0.3077792815671649,0.48456399061457633
65,0.9867289966762258,0.15962025616349462,0.13703330723466361,0.19610132574655967,0.15381213931937224,0.10396433328806388,0.6909831654237125,0.26057211136188557,0.19846444135037306
66,0.9976696356216892,0.1098727114095523,0.15695266887009754,0.1514454198603615,0.08400859903538546,0.8716505890607616,0.1674574544568386,0.41024501143859327,0.8638154816704005
67,0.9976308716405109,0.10287828167261713,0.15342981315176632,0.16469827099644457,0.16009819876870654,0.609914940168988,0.3278615498592458,0.4197878753452819,0.1303978356673111
68,0.9952493036618246,0.10450624679947376,0.08116142209344453,0.12251802030226394,0.121917895913262,0.16367480780426466,0.055560987884429515,0.29448445368834986,0.9716462574422459
69,0.9841805466587894,0.05509679326934071,0.18293662048868492,0.16609505243270498,0.11619728945322658,0.5633086658188143,0.9167409885288105,0.20099338469813793,0.08668787976127965
70,0.9693311852073884,0.1011228789370576,0.0796967261904012,0.22823267979967185,0.1333048179703792,0.0039041472317307134,0.24853866671157465,0.7284410985309667,0.8365525564585784
71,0.9997366638967975,0.1242546892059319,0.10547811488171524,0.1618757994098286,0.14549503545542247,0.9062522044597078,0.5745657665717617,0.4524811911819339,0.9862227530531354
72,0.9995096869430471,0.10171954493830117,0.08906131411705567,0.1998325783917335,0.10943435227686485,0.15507473121540247,0.35493868552969693,0.6944570902957784,0.41832816652522803
73,0.9819338669686998,0.16201460053662906,0.09488175774324088,0.19168746275433854,0.12362921140335395,0.5051981112067833,0.2433440998783278,0.4307927533650475,0.31455175685645537
74,0.9967408399226674,0.1537682630302662,0.11928487017643537,0.1782651055478484,0.16198897065109902,0.1537448925076414,0.5399477031602479,0.6731975670184549,0.020044881999479115
75,0.9844666205419316,0.08216486724678701,0.09578459888351477,0.1818067192473975,0.14640708692857793,0.6305236141559799,0.39741043734525594,0.23521637242535304,0.7836710192780181
76,0.9941226097697811,0.14038092017696954,0.11760236035934911,0.14649360015133164,0.14506280044259562,0.24551287601376764,0.8181140092070444,0.6426576023567399,0.23066379953828942
77,0.9814380596025568,0.08838790669682897,0.13504442559515517,0.2118213078963796,0.1464689878387866,0.8748144689728579,0.02394402121838331,0.07070776799620182,0.7318259178384454
78,0.9996202266797479,0.12948531970993662,0.11329267891494735,0.19292803571833467,0.07616649593922152,0.9942619681472614,0.32163270792677373,0.036682848194021844,0.7052796758640054
79,0.9952032623978699,0.10810571693926165,0.11323494330852493,0.12017612152235847,0.11940080972762546,0.6814595619674123,0.7370028249509426,0.006151520045088671,0.6413723933470633
80,0.974176832961349,0.11943861714240003,0.08952276839100462,0.18614650724526513,0.12583639759212445,0.828872352206591,0.14968881862793004,0.044602656163277896,0.4162333025474593
81,0.9955261656818662,0.06771698116180042,0.07999561022632465,0.19948085471855823,0.11029031699644982,0.431091594104006,0.870758219669148,0.01867134247646108,0.17481372074891371
82,0.9965660520309169,0.0885323675466367,0.15378112825979526,0.18096989916140646,0.1343119652480415,0.6183961455556494,0.38963260603963296,0.9527471644935314,0.8771635918409476
83,0.9996690263255047,0.1049502503684342,0.10409575720090757,0.19505928719780186,0.12846524711983648,0.0952252435328959,0.9843988089283272,0.8149674382121628,0.6304972920884401
84,0.9570766564206926,0.08585334519087089,0.10370953134783933,0.19583689810391972,0.1262710818692478,0.5345610284866982,0.5760059068799503,0.6362115028481711,0.27474174937540025
85,0.981052650009321,0.12231512441442514,0.06328179281038439,0.20471960819928905,0.1469385561774222,0.014337000584726308,0.48054017342259076,0.8766156996319117,0.28621130331058503
86,0.9766049027939163,0.07645136061620478,0.0776871504189855,0.1750275117839137,0.125913125124665,0.8558063397898117,0.5579612048522502,0.5754840803331869,0.5717008709990496
87,0.9834851578461398,0.10618279829740372,0.12452926533936583,0.11975031624030527,0.13167473052610904,0.22912201569520793,0.9908537279773147,0.1467175989248491,0.8794402518116662
